season,team,team_name,batted_balls,home_runs,launch_angle,barrel_rate,exit_velocity,hard_hit_pct,flyball_pct,groundball_pct,hr_per_flyball,avg_hr_distance
2017,DET,Tigers,4281,187,12.6,7.8,87.5,35.8,22.8,43.3,19.1,395
2017,HOU,Astros,4596,238,12.4,6.7,88,35.2,23,44.6,22.5,396
2017,KC,Royals,4424,193,13.5,6.6,87.4,32.6,22.4,41.9,19.5,401
2017,LAA,Angels,4280,186,10.9,6.1,86.9,32,22.5,47.3,19.3,405
2017,LAD,Dodgers,4097,221,12.2,8.2,88.3,36.4,24.6,44.2,21.9,402
2017,MIA,Marlins,4411,194,8.4,6.6,87,31.8,18.6,51,23.6,405
2017,MIL,Brewers,3964,224,10.7,7.2,87.1,33.2,21.7,47,26.1,399
2017,MIN,Twins,4280,206,13.5,6.7,87.6,33.4,23.5,43.1,20.5,401
2017,NYM,Mets,4292,224,14,6.8,87.1,33.5,25.5,41.5,20.5,396
2017,NYY,Yankees,4282,241,12.6,8,87.6,33.7,23.2,43.9,24.3,399
2017,OAK,Athletics,4026,234,15.3,8.5,88.5,37.1,25.8,38.8,22.5,404
2017,PHI,Phillies,4175,174,10.1,6.5,87.4,33.2,20.7,46.9,20.1,396
2017,PIT,Pirates,4315,151,10.2,4.8,86.3,30.3,20.9,48.3,16.7,396
2017,SD,Padres,3942,189,12.6,6.1,86.1,28.9,21.4,44.8,22.4,399
2017,SEA,Mariners,4333,200,11.7,6.8,88,35.1,22.7,45.2,20.3,400
2017,SF,Giants,4430,128,10.6,5.1,86.7,30,20.7,48.1,13.9,396
2017,STL,Cardinals,4213,196,12.6,7.6,87.3,34,23.1,44.6,20.1,400
2017,TB,Rays,4004,228,12.2,8,87.2,34,23.6,44.3,24.2,402
2017,TEX,Rangers,4003,237,12.9,8.6,87.7,34.6,24.1,44.6,24.6,405
2017,TOR,Blue Jays,4232,222,12.3,7.8,87.4,34,23.6,44.8,22.3,401
2017,WSH,Nationals,4314,215,11.6,7.2,88.1,36.6,22.9,45,21.8,402
2018,ARI,D-backs,4083,176,11.4,7.7,88.3,34.8,22.6,45.2,19.1,399
2018,ATL,Braves,4384,175,12.5,5.5,88,33.6,23.2,44.3,17.2,396
2018,BAL,Orioles,4143,188,11.8,7.5,88.5,35.7,22.9,45.4,19.8,397
2018,BOS,Red Sox,4425,208,12.4,9.1,89.8,40,23.5,44.1,20,399
2018,CHC,Cubs,4322,167,10.5,7,88.7,35.9,20.2,47.5,19.1,400
2018,CIN,Reds,4240,172,13.4,6,87.4,31.8,23.7,42.8,17.1,392
2018,CLE,Guardians,4475,216,13.9,7.4,88.8,37,24.3,41.7,19.9,393
2018,COL,Rockies,4223,210,10,7,88.9,36.8,21.9,47.5,22.7,410
2018,CWS,White Sox,3985,182,11.6,7.5,88.3,36,21.6,46,21.2,398
2018,DET,Tigers,4208,135,13.1,6.3,87.6,33.3,21.8,43.7,14.7,389
2018,HOU,Astros,4315,205,13.5,6.6,88,34.8,24.4,42.8,19.4,391
2018,KC,Royals,4259,155,13.6,7.2,88.2,34.7,24.3,42.5,15,399
2018,LAA,Angels,4218,214,13.5,8.1,88.2,36.8,24.2,42.3,21,401
2018,LAD,Dodgers,4214,235,14.5,9.3,89.2,37.6,25.2,41.9,22.1,402
2018,MIA,Marlins,4168,128,9.8,5.6,87.5,32.7,19.5,48.9,15.8,400
2018,MIL,Brewers,4154,218,10.2,8.2,88.9,37.8,21.9,47.1,24,401
2018,MIN,Twins,4255,166,14.3,7.2,87.9,34.1,25.2,41.3,15.5,395
2018,NYM,Mets,4134,170,13.8,5.9,87.8,33.4,24.7,43,16.6,393
2018,NYY,Yankees,4163,267,13.5,9.5,89.4,38.3,26.1,42.6,24.6,394
2018,OAK,Athletics,4248,227,14.9,8.9,89.5,39.4,25.8,40.4,20.7,398
2018,PHI,Phillies,3968,186,13.2,7.3,88.1,35.3,23.9,44.3,19.6,396
2018,PIT,Pirates,4301,157,12.1,6.7,88.2,34.7,22.6,45.1,16.2,396
2018,SD,Padres,4034,162,9.6,6.3,88.5,34.4,20.1,48,20,399
2018,SEA,Mariners,4362,176,11.3,6.8,88.7,35.8,22.6,46.6,17.9,398
2018,SF,Giants,4149,133,11.7,5.9,87.6,33.4,21.7,45.8,14.8,394
2018,STL,Cardinals,4212,205,12.2,8.3,88.8,36.5,23.9,44.7,20.4,398
2018,TB,Rays,4165,150,10.3,5.9,87.7,33.3,20.8,46.9,17.3,401
2018,TEX,Rangers,4036,194,11.9,7.9,88.2,34.2,23.4,45.4,20.6,402
2018,TOR,Blue Jays,4132,217,13.8,9.1,89.2,40.1,24.9,41.8,21.1,394
2018,WSH,Nationals,4309,191,11.8,7.6,88.4,35.5,22.1,45.9,20,399
2019,ARI,D-backs,4344,220,11.8,7.6,88,34.4,24.1,44.5,21,402
2019,ATL,Braves,4153,249,13.3,9.8,89.2,38.6,24.9,41.2,24.1,403
2019,BAL,Orioles,4220,213,11.8,6.9,88,33.6,22.7,45.1,22.2,402
2019,BOS,Red Sox,4452,245,12.8,8.8,89.9,41.4,24.9,43.7,22.1,398
2019,CHC,Cubs,4070,256,10.9,9.2,88.9,36,22.3,46.8,28.2,402
2019,CIN,Reds,4077,227,13.6,6.8,87.4,33.1,24.9,42.7,22.3,395
2019,CLE,Guardians,4179,223,12.9,7.8,89.5,37.5,24.6,44.1,21.7,398
2019,COL,Rockies,4251,224,12.5,7,88.5,35.5,23.4,44,22.5,409
2019,CWS,White Sox,4048,182,10.8,7.8,89.1,37.5,20.8,47.1,21.6,403
2019,DET,Tigers,4005,149,14.1,7,88.1,36.5,23.7,42.4,15.7,395
2019,HOU,Astros,4514,288,13.4,7.6,88.4,36.3,24.1,41.8,26.4,393
2019,KC,Royals,4157,162,12.2,6.9,88,33.1,22.7,45.5,17.1,401
2019,LAA,Angels,4312,220,13,7.5,88,34.4,23.4,43.5,21.8,404
2019,LAD,Dodgers,4238,279,14.5,8.9,89.3,38.4,25.6,41.9,25.7,401
2019,MIA,Marlins,4107,146,9.1,6.4,88.3,35.2,21.3,49.5,16.7,399
2019,MIL,Brewers,4037,250,12,9,89.7,40,24.4,44.4,25.4,401
2019,MIN,Twins,4449,307,14.9,11,89.7,39.8,26,39,26.5,403
2019,NYM,Mets,4295,242,11.1,8,89.1,38.1,22.4,45.8,25.1,400
2019,NYY,Yankees,4189,306,13.5,10.4,89.9,40.7,24.8,42.3,29.4,397
2019,OAK,Athletics,4266,257,14.2,9.2,89.3,39.2,25.4,41.5,23.7,398
2019,PHI,Phillies,4186,215,13.5,7.9,88.8,36.3,22.9,43.6,22.4,398
2019,PIT,Pirates,4525,163,10.2,5.9,88.3,34.3,20.7,47.8,17.4,403
2019,SD,Padres,3878,219,10.8,7.8,88.9,37.1,22.5,47.2,25.1,402
2019,SEA,Mariners,3970,239,14.4,7.9,87.4,32.9,25.5,41.4,23.6,394
2019,SF,Giants,4210,167,13.3,6.9,87.8,35.7,23.7,43.8,16.8,399
2019,STL,Cardinals,4108,210,13.6,7.7,87.9,34.4,24.5,42.7,20.9,403
2019,TB,Rays,4177,217,11.2,8.9,89.5,39.3,22.6,45,23,402
2019,TEX,Rangers,4023,223,12.5,8.2,89.4,38.9,23.1,44.1,24,404
2019,TOR,Blue Jays,4021,247,14.3,8.6,88.7,37.2,25.9,40.6,23.7,399
2019,WSH,Nationals,4294,231,14.1,8.4,88.6,37,24.4,42.8,22,400
2020,ARI,D-backs,1560,58,12.5,5.5,88,35.4,23.5,44.4,15.8,402
2020,ATL,Braves,1509,103,14.7,10.4,89.5,42.7,26.9,39.2,25.4,411
2020,BAL,Orioles,1537,77,14,6.7,87,33.5,21.3,43,23.5,391
2020,BOS,Red Sox,1551,81,11,8,88.5,36.6,24.7,45.3,21.1,402
2020,CHC,Cubs,1364,74,11.4,7.5,88.9,40.1,22.4,47.1,24.2,401
2020,CIN,Reds,1315,90,14.3,8.6,88.2,37.3,29.5,41.4,23.2,396
2020,CLE,Guardians,1465,59,12.6,6.4,88.2,35.6,22,45.4,18.3,401
2020,COL,Rockies,1540,63,13.3,5.7,87,31.7,24.7,42.2,16.5,410
2020,CWS,White Sox,1490,96,11.2,9.6,88.7,40,22.6,45.9,28.5,402
2020,DET,Tigers,1341,62,12.6,7.3,88.5,39.4,21.8,43.9,21.2,400
2020,HOU,Astros,1571,69,14.4,5.8,88.3,35.2,25.7,41.6,17.1,397
2020,KC,Royals,1479,68,11.6,6.9,87.1,33.9,21.6,44.6,21.3,405
2020,LAA,Angels,1554,85,13.7,7,89.1,36.9,24.6,42.9,22.3,403
2020,LAD,Dodgers,1586,118,15,10.4,90,43.9,29,39.8,25.7,401
2020,MIA,Marlins,1413,60,10.3,6.3,87.4,34.4,21.3,48.6,19.9,401
2020,MIL,Brewers,1348,75,12,8,88.2,36.7,21.4,44.2,26,401
2020,MIN,Twins,1425,91,15.5,7.8,89.1,39.6,26.6,39.7,24,404
2020,NYM,Mets,1539,86,9.8,7.6,88.4,37,20.5,46.5,27.3,399
2020,NYY,Yankees,1447,94,11.8,7.7,89.2,39.1,23.9,44.6,27.2,395
2020,OAK,Athletics,1400,71,17.1,7.7,89,37.1,27.3,38,18.6,404
2020,PHI,Phillies,1486,82,14.1,8.9,88.2,37.6,25,42.9,22,395
2020,PIT,Pirates,1433,59,10.2,7,88.1,36.8,22.1,47.7,18.6,405
2020,SD,Padres,1519,95,11.7,10,89.8,42.1,23.3,44.8,26.8,407
2020,SEA,Mariners,1399,60,12.7,7.1,87.8,36,24.1,44.2,17.8,400
2020,SF,Giants,1537,81,14.7,8.4,88.9,39.4,26.9,41.3,19.6,395
2020,STL,Cardinals,1295,51,12.8,7,87.3,34.9,23.2,42.9,16.9,398
2020,TB,Rays,1381,80,11.2,8.7,88.9,39.1,22.7,44.1,25.5,401
2020,TEX,Rangers,1408,62,12.5,7.1,88.7,37.2,23.4,45.3,18.8,396
2020,TOR,Blue Jays,1537,88,11.9,8.7,89.5,41.9,24.2,44,23.7,402
2020,WSH,Nationals,1543,66,11.2,6.6,87.7,35.3,23.6,44.8,18.1,404
2021,ARI,D-backs,4084,144,12.9,5.6,87.7,35.8,24.9,44,14.1,402
2021,ATL,Braves,3985,239,13.8,9.9,89.5,40.8,27.9,41.2,21.5,406
2021,BAL,Orioles,4011,195,13.3,7.6,88.3,36.9,25.6,42.3,19,397
2021,BOS,Red Sox,4161,219,13.7,9.9,89.9,42.5,26.4,41,19.9,405
2021,CHC,Cubs,3780,210,11.7,7.9,88.7,38.8,25.7,45.8,21.6,400
2021,CIN,Reds,4078,222,13.2,8.5,88.4,38.1,26.5,43.1,20.5,402
2021,CLE,Guardians,4001,203,12.1,7.7,88.9,38.6,24.2,44.5,21,399
2021,COL,Rockies,4102,182,11.3,6.6,87.7,36.1,25.2,45.9,17.6,411
2021,CWS,White Sox,4031,190,10.4,7.8,89.2,39.7,23.5,46.8,20.1,402
2021,DET,Tigers,3929,179,13.3,7.7,88.4,38.1,26.5,42.4,17.2,393
2021,HOU,Astros,4434,221,14,7.7,89.5,40.8,26.5,41.3,18.8,391
2021,KC,Royals,4252,163,12.7,6.9,89.2,39.2,26.3,44.4,14.6,404
2021,LAA,Angels,4098,190,12.3,7.8,87.9,35.1,24.6,44.3,18.8,403
2021,LAD,Dodgers,4114,237,14.7,8.8,89.5,40.3,29.8,41,19.3,400
2021,MIA,Marlins,3856,158,11,6.4,88.1,37.2,23.4,46.8,17.5,405
2021,MIL,Brewers,3957,194,12.5,7.6,88.4,38.4,25.7,44.4,19.1,402
2021,MIN,Twins,4075,228,13.1,10.2,89.9,41.6,26.4,42.8,21.2,408
2021,NYM,Mets,3875,176,11.9,7.4,88.4,37.9,25.1,45.1,18.1,400
2021,NYY,Yankees,3893,222,12.5,9.8,89.9,42.8,25.5,44.2,22.4,399
2021,OAK,Athletics,4112,199,14.1,8.7,89,39.6,27.6,41.7,17.5,400
2021,PHI,Phillies,4054,198,11.6,7.3,88.4,37,23.7,46.2,20.6,400
2021,PIT,Pirates,4076,124,10.3,5.4,87.5,34.2,23.4,46.4,13,401
2021,SD,Padres,4142,180,10.5,7.6,89.4,40.7,21.9,46.5,19.8,402
2021,SEA,Mariners,3908,199,14,8.3,87.9,37.2,27.1,42.3,18.8,397
2021,SF,Giants,4067,241,14.8,9.3,88.7,38.8,28.7,41.1,20.6,397
2021,STL,Cardinals,4094,198,14,7.9,88.7,37.4,28.2,42,17.1,402
2021,TB,Rays,4012,222,12.6,8.4,88.9,39.9,26.2,42.9,21.1,397
2021,TEX,Rangers,4071,167,10.9,6.6,87.9,35.7,23.2,47.1,17.7,403
2021,TOR,Blue Jays,4303,262,13.6,9.8,90.3,42.3,27.2,41,22.4,400
2021,WSH,Nationals,4151,182,9.5,7,88.6,39.3,21.8,48.8,20.1,404
2022,ARI,D-backs,4091,173,12.4,6.6,88.1,35.7,25.7,45.7,16.5,404
2022,ATL,Braves,4048,243,13.5,10.9,89.9,43.5,27.6,42.4,21.7,406
2022,BAL,Orioles,4094,171,15.5,8.2,88.7,39,26.3,39.9,15.9,398
2022,BOS,Red Sox,4228,155,11.4,8.1,89.3,40.9,24.1,44.1,15.2,396
2022,CHC,Cubs,4032,159,10.4,6.7,88.4,37.4,23.6,46.7,16.7,396
2022,CIN,Reds,3995,156,12.9,5.9,87.2,34.9,24.8,44,15.8,394
2022,CLE,Guardians,4510,127,11.7,4.9,87.2,33.1,22.6,45,12.5,394
2022,COL,Rockies,4260,149,9.9,5.9,87.6,36.8,23.3,47,15,412
2022,CWS,White Sox,4393,149,10.6,7.5,89.2,40.8,24,45.9,14.2,400
2022,DET,Tigers,4019,110,11.8,6.3,87.6,36.4,23.7,45.2,11.5,394
2022,HOU,Astros,4281,214,14.2,8.1,88.7,39.1,28.3,41.3,17.7,392
2022,KC,Royals,4214,138,12.9,7.2,88.8,37.8,27.2,42.5,12.1,404
2022,LAA,Angels,3934,190,13.7,8.5,88.3,35.8,27.4,42.2,17.6,400
